model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_041,921,0.8885079218221801,0.6876861350724586,0.3123138649275415,0.9810214034546669,0.28125
model_trial_042,2685,0.9397267030580769,0.8331504107443589,0.1668495892556411,0.980271572015565,0.484375
model_trial_043,5837,0.9414433506041977,0.8256732609504114,0.17432673904958865,0.9804197241950651,0.4140625
model_trial_044,5813,0.8887065152825876,0.7085937334651585,0.2914062665348415,0.9802201722798202,0.4375
model_trial_045,3881,0.9034205165576827,0.7654841703931475,0.2345158296068525,0.9804922885278813,0.7109375
model_trial_046,5529,0.5269584013442846,0.033119570902911954,0.966880429097088,0.9836458134915236,-0.328125
model_trial_048,765,0.43984082914011413,0.012762252034069,0.987237747965931,0.9823003498205545,-0.7421875
model_trial_049,1829,0.8881383264434266,0.6310375792538572,0.36896242074614277,0.9811302499538914,0.3515625
model_trial_050,1973,0.5454775412792301,0.02149416008296523,0.9785058399170348,0.9920602525843485,-0.390625
model_trial_051,3917,0.5886054346836815,0.0,1.0,1.0,-1.0
model_trial_052,4817,0.9339918325957874,0.8340423473352261,0.16595765266477394,0.980183890113412,0.46875
model_trial_053,3325,0.5639749773702731,0.07438448816445498,0.925615511835545,0.9812542140224526,-0.71875
model_trial_054,6325,0.9406569270469446,0.8380636207787967,0.1619363792212033,0.9802020311966161,0.4609375
model_trial_055,1005,0.8999066826640505,0.7096217281800563,0.2903782718199437,0.9802594779600957,0.34375
model_trial_056,6353,0.9033344309725971,0.7536289725192824,0.24637102748071754,0.9803320422929119,0.46875
model_trial_057,3953,0.5031439773337643,0.02784353920439253,0.9721564607956075,0.9871712306608494,-0.046875
model_trial_058,4521,0.48615681410033473,0.0,1.0,1.0,-1.0
model_trial_059,2613,0.8049936436814169,0.5297196295590809,0.470280370440919,0.9815535418953198,0.328125
model_trial_060,5801,0.5074824847705043,0.044158420032593515,0.9558415799674065,0.9806495112489834,-0.40625
model_trial_061,1801,0.890701045821941,0.7042519675516492,0.29574803244835085,0.9805436882636263,0.390625
model_trial_062,4845,0.889092638360043,0.7132106391405963,0.2867893608594036,0.9804771709585446,0.2734375
model_trial_063,4133,0.9250696358880792,0.7540371468913742,0.24596285310862578,0.9804348417644018,0.5234375
model_trial_064,1005,0.9410476063021227,0.8354543283112768,0.1645456716887232,0.9807371931511364,0.6171875
model_trial_065,1369,0.8924534003015887,0.7552495759521801,0.2447504240478199,0.9800024792813712,0.3984375
model_trial_066,5501,0.8886757041385647,0.7108099691299234,0.2891900308700766,0.9802473839046263,0.3671875
model_trial_067,5185,0.8908686494787603,0.7791383590180836,0.22086164098191635,0.9800387614477793,0.3984375
model_trial_068,3313,0.9406645367870925,0.8389525338557965,0.16104746614420348,0.9800538790171162,0.5390625
model_trial_069,2569,0.9386111297735099,0.8361225248759603,0.16387747512403966,0.9808158045116874,0.578125
model_trial_070,1773,0.9391931817484176,0.8287723626644413,0.17122763733555865,0.9805346177220242,0.578125
model_trial_071,693,0.8973625662544751,0.7495956050202424,0.2504043949797576,0.9804922885278813,0.484375
model_trial_072,681,0.5720740750080019,0.0,1.0,1.0,-1.0
model_trial_073,765,0.5235365025309995,0.0,1.0,1.0,-1.0
