model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_1*_ff,dsp,bram,hls_source,fullPath
model1,model1_4w6i,637,91.0,0.887792023784351,0.6679335189770848,8540,5823,11451.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_637.h5
model1,model1_4w6i,625,99.0,0.8978741739196837,0.6348472067267137,8769,5831,11684.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_625.h5
model1,model1_4w6i,649,85.0,0.8405670320104542,0.5694092960957365,9118,6101,12168.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_649.h5
model1,model1_4w6i,642,55.0,0.8161392349696828,0.5399481769723137,7669,5012,10175.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_642.h5
model1,model1_4w6i,626,79.0,0.8573291703378914,0.5076630958967894,7505,4978,9994.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_626.h5
model1,model1_4w6i,624,61.0,0.8584960926266938,0.4889324274885787,6477,4438,8696.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_624.h5
model1,model1_4w6i,622,45.0,0.8217202626205626,0.4172358431521946,5740,3883,7681.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_622.h5
model1,model1_4w6i,655,37.0,0.7815369484700827,0.3858940984032823,7353,4457,9581.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_655.h5
model1,model1_4w6i,627,31.0,0.8296201966523233,0.374831061162662,5007,3338,6676.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_627.h5
model1,model1_4w6i,628,19.0,0.8235910679074565,0.3050725492152469,4350,2780,5740.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_628.h5
model1,model1_4w6i,632,25.0,0.5,0.0,5351,3339,7020.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_632.h5
model1,model1_6w8i,854,595.0,0.9466733943515554,0.8132012662476076,26435,17982,35426.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_854.h5
model1,model1_6w8i,850,501.0,0.9467375435660828,0.8126177280712098,24487,16562,32768.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_850.h5
model1,model1_6w8i,855,267.0,0.942669570184164,0.8088867119589044,17702,11965,23684.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_855.h5
model1,model1_6w8i,847,391.0,0.942285240412322,0.8077014945229046,19967,13530,26732.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_847.h5
model1,model1_6w8i,833,281.0,0.944157375386754,0.8057815632171397,15447,10498,20696.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_833.h5
model1,model1_6w8i,834,235.0,0.944958933992152,0.7997375589963143,13872,9669,18706.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_834.h5
model1,model1_6w8i,838,193.0,0.9445982833523752,0.7989484218769369,12856,8661,17186.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_838.h5
