model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_0.5*_ff,dsp,bram,hls_source,fullPath
model1,model1_4w6i,628,19.0,0.8235910679074565,0.3050725492152469,1356,954,1833.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_628.h5
model1,model1_4w6i,632,25.0,0.5,0.0,1819,1232,2435.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_632.h5
model1,model1_6w8i,854,595.0,0.9466733943515554,0.8132012662476076,10458,9055,14985.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_854.h5
model1,model1_6w8i,850,501.0,0.9467375435660828,0.8126177280712098,10490,8417,14698.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_850.h5
model1,model1_6w8i,855,267.0,0.942669570184164,0.8088867119589044,7336,5794,10233.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_855.h5
model1,model1_6w8i,847,391.0,0.942285240412322,0.8077014945229046,8519,6764,11901.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_847.h5
model1,model1_6w8i,833,281.0,0.944157375386754,0.8057815632171397,6543,5111,9098.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_833.h5
model1,model1_6w8i,834,235.0,0.944958933992152,0.7997375589963143,5736,4679,8075.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_834.h5
model1,model1_6w8i,838,193.0,0.9445982833523752,0.7989484218769369,5925,4062,7956.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_838.h5
model1,model1_6w8i,829,199.0,0.943368627550238,0.7983679072144064,4563,3979,6552.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_829.h5
