model,trial_id,nodes,parameters,val_accuracy
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,073,125,4249,0.8810425400733948
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,085,197,9961,0.8809463977813721
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,076,125,5337,0.8806717395782471
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,017,197,9961,0.8802551627159119
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,049,149,6153,0.8792786598205566
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,139,197,9961,0.8791962265968323
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,071,85,2889,0.8787720799446106
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,038,133,5609,0.878262460231781
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,129,197,9961,0.8778992891311646
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,072,85,2889,0.8754091262817383
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,002,197,9961,0.8751420974731445
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,034,237,12409,0.8750032186508179
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,044,261,14313,0.8699252605438232
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,113,133,5609,0.8691180944442749
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,050,117,5065,0.8670505881309509
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,066,229,12137,0.8647984266281128
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,012,253,14041,0.8609426617622375
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,112,165,7785,0.8599340319633484
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,121,245,13769,0.8570318818092346
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,124,197,9961,0.8543052077293396
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,059,149,7241,0.8501121997833252
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,014,117,5065,0.8492897748947144
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,142,125,5337,0.8072330951690674
