model,trial_id,nodes,parameters,val_accuracy,conv_filters,kernel_rows,kernel_cols,scalar_dense_units,merged_dense_1,merged_multiplier_2,dropout_rate,learning_rate
model3_quantized_4w0i_hyperparameter_search,034,2933,58821,0.9391973614692688,48,3,3,16,20,0.8,0.1,0.0031256760850773423
model3_quantized_4w0i_hyperparameter_search,035,1493,29781,0.9354817867279053,24,3,3,16,20,0.8,0.1,0.0007719356053322489
model3_quantized_4w0i_hyperparameter_search,036,1184,132780,0.9326767921447754,16,3,3,48,125,0.4,0.1,0.000132640181394537
model3_quantized_4w0i_hyperparameter_search,037,2577,200401,0.93878573179245,40,3,3,48,80,0.6000000000000001,0.1,0.00018452775211528182
model3_quantized_4w0i_hyperparameter_search,038,2545,197761,0.9447216391563416,40,3,3,32,80,0.4,0.1,0.0008166224340086715
model3_quantized_4w0i_hyperparameter_search,039,1005,19925,0.9286915063858032,16,3,3,16,20,0.4,0.1,0.0004045388611728773
model3_quantized_4w0i_hyperparameter_search,040,3121,418037,0.9439217448234558,48,3,3,16,140,0.6000000000000001,0.1,0.0013819447790663852
model3_quantized_4w0i_hyperparameter_search,041,1703,175839,0.9421988725662231,24,3,3,64,110,0.8,0.1,0.0004988935332981495
model3_quantized_4w0i_hyperparameter_search,042,1042,35530,0.9426541328430176,16,3,3,32,35,0.4,0.1,0.0019779296003476373
model3_quantized_4w0i_hyperparameter_search,043,1660,149212,0.9459471702575684,24,3,3,48,95,0.8,0.1,0.0013649679576430186
model3_quantized_4w0i_hyperparameter_search,044,3046,280998,0.9445282816886902,48,3,3,32,95,0.4,0.1,0.007368471951434973
model3_quantized_4w0i_hyperparameter_search,045,3009,234913,0.9443973302841187,48,3,3,16,80,0.4,0.1,0.0023648890851369585
model3_quantized_4w0i_hyperparameter_search,046,1568,54144,0.9400876760482788,24,3,3,64,35,0.8,0.1,0.000582968539368285
model3_quantized_4w0i_hyperparameter_search,047,1191,119343,0.9447855353355408,16,3,3,32,110,0.8,0.1,0.0010929682838701131
model3_quantized_4w0i_hyperparameter_search,048,2039,99955,0.931583821773529,32,3,3,48,50,0.4,0.1,0.0001161083982594455
model3_quantized_4w0i_hyperparameter_search,049,2113,163233,0.948310911655426,32,3,3,48,80,0.8,0.1,0.004759045596576738
model3_quantized_4w0i_hyperparameter_search,050,2165,284077,0.9455838799476624,32,3,3,48,140,0.4,0.1,0.0018451727360065534
model3_quantized_4w0i_hyperparameter_search,051,2076,131280,0.9457507133483887,32,3,3,64,65,0.4,0.1,0.0038430249231104093
model3_quantized_4w0i_hyperparameter_search,052,2617,240297,0.9464476704597473,40,3,3,64,95,0.6000000000000001,0.1,0.0013383290456424192
model3_quantized_4w0i_hyperparameter_search,053,3030,193406,0.9422690272331238,48,3,3,32,65,0.8,0.1,0.0006330085025925271
model3_quantized_4w0i_hyperparameter_search,054,1648,190812,0.9398959279060364,24,3,3,32,125,0.4,0.1,0.00026537414895502884
model3_quantized_4w0i_hyperparameter_search,055,2140,194892,0.9482563734054565,32,3,3,48,95,0.8,0.1,0.0034557203461527738
model3_quantized_4w0i_hyperparameter_search,056,2081,160577,0.9327999949455261,32,3,3,16,80,0.8,0.1,0.0001409438468256163
model3_quantized_4w0i_hyperparameter_search,057,3051,324127,0.9320235252380371,48,3,3,16,110,0.4,0.1,0.0003084174895718868
model3_quantized_4w0i_hyperparameter_search,058,2128,250892,0.9449056386947632,32,3,3,32,125,0.4,0.1,0.007476903660508061
model3_quantized_4w0i_hyperparameter_search,059,3154,379450,0.9296441674232483,48,3,3,48,125,0.8,0.1,0.00011104386881801254
model3_quantized_4w0i_hyperparameter_search,060,2129,164561,0.9431016445159912,32,3,3,64,80,0.8,0.1,0.0005049588900001827
model3_quantized_4w0i_hyperparameter_search,061,1126,69374,0.9420756697654724,16,3,3,48,65,0.8,0.1,0.0010182407613840007
model3_quantized_4w0i_hyperparameter_search,062,2057,129975,0.9421271085739136,32,3,3,32,65,0.6000000000000001,0.1,0.0008109580298064357
model3_quantized_4w0i_hyperparameter_search,063,1569,119473,0.9427648186683655,24,3,3,16,80,0.4,0.1,0.0009005932092457443
model3_quantized_4w0i_hyperparameter_search,064,1657,148937,0.9476186037063599,24,3,3,64,95,0.6000000000000001,0.1,0.004894596452727642
model3_quantized_4w0i_hyperparameter_search,065,1100,67632,0.9368538856506348,16,3,3,48,65,0.4,0.1,0.0003245957373760487
model3_quantized_4w0i_hyperparameter_search,066,1648,190812,0.9406505823135376,24,3,3,32,125,0.4,0.1,0.00028884164416677734
model3_quantized_4w0i_hyperparameter_search,067,2521,87645,0.9294664263725281,40,3,3,64,35,0.6000000000000001,0.1,0.00010034321114853268
model3_quantized_4w0i_hyperparameter_search,069,2496,86688,0.9329543709754944,40,3,3,32,35,0.8,0.1,0.00022762343549467492
model3_quantized_4w0i_hyperparameter_search,070,1201,120495,0.9442257881164551,16,3,3,64,110,0.6000000000000001,0.1,0.0009715558051834077
model3_quantized_4w0i_hyperparameter_search,071,1985,39741,0.9276062846183777,32,3,3,32,20,0.6000000000000001,0.1,0.00026187085966739856
model3_quantized_4w0i_hyperparameter_search,072,2044,129104,0.9383866190910339,32,3,3,32,65,0.4,0.1,0.0003905971785546966
model3_quantized_4w0i_hyperparameter_search,073,3057,238865,0.9451691508293152,48,3,3,32,80,0.8,0.1,0.0023348169879587326
model3_quantized_4w0i_hyperparameter_search,074,2108,191756,0.9472366571426392,32,3,3,16,95,0.8,0.1,0.0053405972699974436
model3_quantized_4w0i_hyperparameter_search,075,3015,148963,0.944113552570343,48,3,3,64,50,0.4,0.1,0.0015690407668243894
model3_quantized_4w0i_hyperparameter_search,076,2999,148115,0.9238064885139465,48,3,3,48,50,0.4,0.1,0.00010137583660859015
model3_quantized_4w0i_hyperparameter_search,077,2065,101323,0.9348721504211426,32,3,3,64,50,0.6000000000000001,0.1,0.0001617185017462098
model3_quantized_4w0i_hyperparameter_search,078,1142,99846,0.9466066956520081,16,3,3,48,95,0.4,0.1,0.005910286085987312
model3_quantized_4w0i_hyperparameter_search,079,1126,69374,0.9328451752662659,16,3,3,48,65,0.8,0.1,0.00019071203207567507
model3_quantized_4w0i_hyperparameter_search,080,2967,146419,0.9264290928840637,48,3,3,16,50,0.4,0.1,0.00015968202618802098
model3_quantized_4w0i_hyperparameter_search,081,2555,125923,0.9435616135597229,40,3,3,64,50,0.8,0.1,0.00119647438591341
model3_quantized_4w0i_hyperparameter_search,082,2501,50245,0.9410138726234436,40,3,3,64,20,0.8,0.1,0.006944763609999221
model3_quantized_4w0i_hyperparameter_search,083,3097,372179,0.9333706498146057,48,3,3,16,125,0.6000000000000001,0.1,0.0003565211886524886
model3_quantized_4w0i_hyperparameter_search,084,1223,122959,0.9437674283981323,16,3,3,64,110,0.8,0.1,0.0006279852209383304
model3_quantized_4w0i_hyperparameter_search,085,1657,191939,0.9418075084686279,24,3,3,16,125,0.6000000000000001,0.1,0.007209319326897956
model3_quantized_4w0i_hyperparameter_search,086,2674,319370,0.9428396821022034,40,3,3,48,125,0.8,0.1,0.000327269998772879
model3_quantized_4w0i_hyperparameter_search,087,2156,196460,0.9450880289077759,32,3,3,64,95,0.8,0.1,0.006700829010008494
model3_quantized_4w0i_hyperparameter_search,088,1153,115071,0.9430844783782959,16,3,3,16,110,0.6000000000000001,0.1,0.0074315194973497405
model3_quantized_4w0i_hyperparameter_search,089,1969,39373,0.9396869540214539,32,3,3,16,20,0.6000000000000001,0.1,0.006118848282897796
model3_quantized_4w0i_hyperparameter_search,090,2624,313020,0.9430564045906067,40,3,3,48,125,0.4,0.1,0.0003618328428141238
model3_quantized_4w0i_hyperparameter_search,091,2593,273711,0.9414660334587097,40,3,3,16,110,0.6000000000000001,0.1,0.0003127768409735319
model3_quantized_4w0i_hyperparameter_search,092,1013,20101,0.938899576663971,16,3,3,16,20,0.8,0.1,0.006953828736395894
model3_quantized_4w0i_hyperparameter_search,093,1561,97607,0.9441338181495667,24,3,3,16,65,0.6000000000000001,0.1,0.002727646483522594
model3_quantized_4w0i_hyperparameter_search,094,1545,53277,0.9419946074485779,24,3,3,48,35,0.6000000000000001,0.1,0.007720826952669318
model3_quantized_4w0i_hyperparameter_search,095,1129,98553,0.9441151022911072,16,3,3,16,95,0.6000000000000001,0.1,0.0019688037130112233
model3_quantized_4w0i_hyperparameter_search,096,2070,130846,0.9458006024360657,32,3,3,32,65,0.8,0.1,0.00176113499112156
model3_quantized_4w0i_hyperparameter_search,097,1579,76915,0.9433541893959045,24,3,3,48,50,0.8,0.1,0.0008414140567698299
model3_quantized_4w0i_hyperparameter_search,098,1009,20013,0.9393548369407654,16,3,3,16,20,0.6000000000000001,0.1,0.0027430434783815467
model3_quantized_4w0i_hyperparameter_search,099,1110,68286,0.9449368119239807,16,3,3,32,65,0.8,0.1,0.005666365603069349
model3_quantized_4w0i_hyperparameter_search,100,1522,52410,0.9304019212722778,24,3,3,32,35,0.4,0.1,0.00017951154199797646
