model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath,areaScorePostScheduling,areaScorePostDSP,areaScorePostAssignment,designLatency,clockPeriod,numClocks,hlsDir,h5Path
model2_5,model25_10bit,33,489.0,0.9567331116523564,0.8377098696563172,33921,25584,59505,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_033.h5,366827.2,394535.7,389716.3,240.0,10.0,24,./hlsVerification/m2.5_b10___model_trial_033.h/hlsCatapultModel2_20260625_121215/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_033.h5
model2_5,model25_8bit,51,391.0,0.9520147470303766,0.8280830015026864,32688,23899,56587,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_8bit_normalised_selected/pareto_primary/model_trial_051.h5,232252.9,255254.8,253475.6,240.0,10.0,24,./hlsVerification/m2.5_b8___model_trial_051.h/hlsCatapultModel2_20260625_121452/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_051.h5
model1,model1_8w10i,1047,391.0,0.9480106694019824,0.8216761756177795,20086,15305,35391,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1047.h5,188759.4,208315.1,201890.0,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1047.h/hlsCatapultModel2_20260625_121722/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1047.h5
model1,model1_8w10i,1046,265.0,0.9483342619652744,0.8197864794506879,16872,11902,28774,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1046.h5,128980.0,145286.5,140117.2,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1046.h/hlsCatapultModel2_20260625_121940/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1046.h5
model1,model1_10w12i,1235,281.0,0.946628167711278,0.8145074242383012,15923,11869,27792,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1235.h5,166083.1,182042.3,177606.5,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1235.h/hlsCatapultModel2_20260625_122149/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1235.h5
model1,model1_8w10i,1042,211.0,0.9452101569303348,0.8128263505280566,14802,11494,26296,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1042.h5,99433.0,113970.2,113084.4,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1042.h/hlsCatapultModel2_20260625_122351/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1042.h5
model1,model1_10w12i,1231,235.0,0.9464365090137458,0.8118618496043732,14817,11062,25879,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1231.h5,136419.8,151119.7,150269.6,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1231.h/hlsCatapultModel2_20260625_122554/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1231.h5
model1,model1_8w10i,1048,163.0,0.9452931797976464,0.809494438246241,12813,9204,22017,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1048.h5,80350.7,93283.7,89366.9,200.0,10.0,20,./hlsVerification/m1_b8__model_trial_1048.h/hlsCatapultModel2_20260625_122753/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1048.h5
model1,model1_10w12i,1232,155.0,0.9447221468172312,0.8030634242503953,12380,9215,21595,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1232.h5,90733.0,102813.9,102156.5,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1232.h/hlsCatapultModel2_20260625_122954/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1232.h5
model1,model1_6w8i,836,121.0,0.9388993287785602,0.7975938876643658,10259,7398,17657,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_836.h5,47093.2,57031.1,54301.7,180.0,10.0,18,./hlsVerification/m1_b6___model_trial_836.h/hlsCatapultModel2_20260625_123146/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_836.h5
