model,trial_id,nodes,parameters,val_accuracy
model2_quantized_4w0i_hyperparameter_search,030,181,8329,0.8911435604095459
model2_quantized_4w0i_hyperparameter_search,136,277,14857,0.8910886645317078
model2_quantized_4w0i_hyperparameter_search,055,109,3705,0.8910596370697021
model2_quantized_4w0i_hyperparameter_search,093,165,7785,0.8908124566078186
model2_quantized_4w0i_hyperparameter_search,061,149,6153,0.8906980156898499
model2_quantized_4w0i_hyperparameter_search,051,197,9961,0.8903257250785828
model2_quantized_4w0i_hyperparameter_search,082,157,7513,0.8901075124740601
model2_quantized_4w0i_hyperparameter_search,138,253,14041,0.8899992108345032
model2_quantized_4w0i_hyperparameter_search,114,181,8329,0.8896055221557617
model2_quantized_4w0i_hyperparameter_search,056,261,14313,0.8891310095787048
model2_quantized_4w0i_hyperparameter_search,137,189,8601,0.8887602090835571
model2_quantized_4w0i_hyperparameter_search,148,173,8057,0.8885831832885742
model2_quantized_4w0i_hyperparameter_search,019,213,10505,0.8885465860366821
model2_quantized_4w0i_hyperparameter_search,025,205,10233,0.8883375525474548
model2_quantized_4w0i_hyperparameter_search,149,213,11593,0.8879088163375854
model2_quantized_4w0i_hyperparameter_search,141,125,4249,0.8878950476646423
model2_quantized_4w0i_hyperparameter_search,125,149,6153,0.8877836465835571
model2_quantized_4w0i_hyperparameter_search,122,117,3977,0.887710452079773
model2_quantized_4w0i_hyperparameter_search,144,93,3161,0.8866026997566223
model2_quantized_4w0i_hyperparameter_search,015,181,9417,0.8862166404724121
model2_quantized_4w0i_hyperparameter_search,062,205,10233,0.8855285048484802
model2_quantized_4w0i_hyperparameter_search,095,245,12681,0.8852508068084717
model2_quantized_4w0i_hyperparameter_search,131,149,7241,0.8843978643417358
model2_quantized_4w0i_hyperparameter_search,104,93,3161,0.8827926516532898
model2_quantized_4w0i_hyperparameter_search,041,101,3433,0.8821914792060852
model2_quantized_4w0i_hyperparameter_search,073,125,4249,0.8810425400733948
model2_quantized_4w0i_hyperparameter_search,085,197,9961,0.8809463977813721
model2_quantized_4w0i_hyperparameter_search,076,125,5337,0.8806717395782471
model2_quantized_4w0i_hyperparameter_search,017,197,9961,0.8802551627159119
model2_quantized_4w0i_hyperparameter_search,049,149,6153,0.8792786598205566
model2_quantized_4w0i_hyperparameter_search,139,197,9961,0.8791962265968323
model2_quantized_4w0i_hyperparameter_search,071,85,2889,0.8787720799446106
model2_quantized_4w0i_hyperparameter_search,038,133,5609,0.878262460231781
model2_quantized_4w0i_hyperparameter_search,129,197,9961,0.8778992891311646
model2_quantized_4w0i_hyperparameter_search,072,85,2889,0.8754091262817383
model2_quantized_4w0i_hyperparameter_search,002,197,9961,0.8751420974731445
model2_quantized_4w0i_hyperparameter_search,034,237,12409,0.8750032186508179
model2_quantized_4w0i_hyperparameter_search,044,261,14313,0.8699252605438232
model2_quantized_4w0i_hyperparameter_search,113,133,5609,0.8691180944442749
model2_quantized_4w0i_hyperparameter_search,050,117,5065,0.8670505881309509
model2_quantized_4w0i_hyperparameter_search,066,229,12137,0.8647984266281128
model2_quantized_4w0i_hyperparameter_search,012,253,14041,0.8609426617622375
model2_quantized_4w0i_hyperparameter_search,112,165,7785,0.8599340319633484
model2_quantized_4w0i_hyperparameter_search,121,245,13769,0.8570318818092346
model2_quantized_4w0i_hyperparameter_search,124,197,9961,0.8543052077293396
model2_quantized_4w0i_hyperparameter_search,059,149,7241,0.8501121997833252
model2_quantized_4w0i_hyperparameter_search,014,117,5065,0.8492897748947144
model2_quantized_4w0i_hyperparameter_search,142,125,5337,0.8072330951690674
