model,trial_id,nodes,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2_quantized_4w0i_hyperparameter_search,000,277,14857,0.904758632183075,192,28,32,24,0.1,0.0017377012853110221
model2_quantized_4w0i_hyperparameter_search,001,197,9961,0.8953579664230347,128,12,32,24,0.2,0.000263474572751995
model2_quantized_4w0i_hyperparameter_search,002,197,9961,0.8751420974731445,128,4,32,32,0.15000000000000002,0.00021601136044030822
model2_quantized_4w0i_hyperparameter_search,003,181,8329,0.9042932391166687,96,20,32,32,0.0,0.0058263756897235135
model2_quantized_4w0i_hyperparameter_search,004,133,5609,0.8966793417930603,64,20,32,16,0.05,0.000464153439647295
model2_quantized_4w0i_hyperparameter_search,005,149,6153,0.900104820728302,64,28,32,24,0.2,0.0044890809309126225
model2_quantized_4w0i_hyperparameter_search,006,237,12409,0.9040185809135437,160,28,32,16,0.25,0.001473509849088392
model2_quantized_4w0i_hyperparameter_search,007,197,9961,0.8936063051223755,128,20,32,16,0.1,0.0003498923554592848
model2_quantized_4w0i_hyperparameter_search,008,245,12681,0.9011164307594299,160,20,32,32,0.0,0.0012334741931129647
model2_quantized_4w0i_hyperparameter_search,009,277,14857,0.9026804566383362,192,28,32,24,0.2,0.004475458275879791
model2_quantized_4w0i_hyperparameter_search,010,189,9689,0.8947674632072449,128,4,32,24,0.05,0.000575732702957742
model2_quantized_4w0i_hyperparameter_search,011,253,12953,0.9048181176185608,160,28,32,32,0.25,0.0023057788252851554
model2_quantized_4w0i_hyperparameter_search,012,253,14041,0.8609426617622375,192,12,32,16,0.15000000000000002,0.00011451864543384385
model2_quantized_4w0i_hyperparameter_search,013,221,11865,0.8947476148605347,160,12,32,16,0.05,0.00026425375244298215
model2_quantized_4w0i_hyperparameter_search,014,117,5065,0.8492897748947144,64,4,32,16,0.15000000000000002,0.00010295925479564696
model2_quantized_4w0i_hyperparameter_search,015,181,9417,0.8862166404724121,128,4,32,16,0.1,0.0009689679055404804
model2_quantized_4w0i_hyperparameter_search,016,197,9961,0.896580159664154,128,4,32,32,0.0,0.003364458958042958
model2_quantized_4w0i_hyperparameter_search,017,197,9961,0.8802551627159119,128,4,32,32,0.2,0.0004605666456567159
model2_quantized_4w0i_hyperparameter_search,018,133,5609,0.8985942602157593,64,12,32,24,0.15000000000000002,0.0010832260345031396
model2_quantized_4w0i_hyperparameter_search,019,213,10505,0.8885465860366821,128,20,32,32,0.2,0.00012991121600668937
model2_quantized_4w0i_hyperparameter_search,020,181,8329,0.8969753384590149,96,28,32,24,0.15000000000000002,0.00031021969453869444
model2_quantized_4w0i_hyperparameter_search,021,109,3705,0.896767795085907,32,20,32,24,0.2,0.00263349573424098
model2_quantized_4w0i_hyperparameter_search,022,165,7785,0.9018335938453674,96,20,32,16,0.25,0.003218438555994657
model2_quantized_4w0i_hyperparameter_search,023,213,10505,0.905680239200592,128,20,32,32,0.15000000000000002,0.0020571513013852606
model2_quantized_4w0i_hyperparameter_search,024,157,7513,0.8934460878372192,96,4,32,24,0.05,0.007764669056757976
model2_quantized_4w0i_hyperparameter_search,025,205,10233,0.8883375525474548,128,28,32,16,0.0,0.00010450278707454006
model2_quantized_4w0i_hyperparameter_search,026,149,6153,0.9016947746276855,64,28,32,24,0.1,0.004767295172393763
model2_quantized_4w0i_hyperparameter_search,027,269,14585,0.9076516032218933,192,28,32,16,0.15000000000000002,0.0026798596778915378
model2_quantized_4w0i_hyperparameter_search,028,165,7785,0.9016855955123901,96,12,32,24,0.2,0.0015225969110395504
model2_quantized_4w0i_hyperparameter_search,029,109,3705,0.8948696851730347,32,12,32,32,0.0,0.0011196725758620485
model2_quantized_4w0i_hyperparameter_search,030,181,8329,0.8911435604095459,96,20,32,32,0.05,0.00018980757724363517
model2_quantized_4w0i_hyperparameter_search,031,181,9417,0.8956005573272705,128,4,32,16,0.2,0.0029912317267680685
model2_quantized_4w0i_hyperparameter_search,032,141,5881,0.9022760987281799,64,20,32,24,0.25,0.0011567819399700755
model2_quantized_4w0i_hyperparameter_search,033,157,7513,0.8978221416473389,96,12,32,16,0.0,0.0005131161690040967
model2_quantized_4w0i_hyperparameter_search,034,237,12409,0.8750032186508179,160,12,32,32,0.1,0.00014268240389777708
model2_quantized_4w0i_hyperparameter_search,035,237,12409,0.9004985094070435,160,28,32,16,0.25,0.0005804429242741638
model2_quantized_4w0i_hyperparameter_search,036,125,4249,0.8938916325569153,32,28,32,32,0.25,0.0012963466988990479
model2_quantized_4w0i_hyperparameter_search,037,197,9961,0.8976741433143616,128,12,32,24,0.05,0.007836255783976532
model2_quantized_4w0i_hyperparameter_search,038,133,5609,0.878262460231781,64,4,32,32,0.25,0.00020200820998132453
model2_quantized_4w0i_hyperparameter_search,039,181,8329,0.9024744629859924,96,20,32,32,0.25,0.002606977587599251
model2_quantized_4w0i_hyperparameter_search,040,213,10505,0.9022913575172424,128,20,32,32,0.1,0.0006041820751401902
model2_quantized_4w0i_hyperparameter_search,041,101,3433,0.8821914792060852,32,12,32,24,0.25,0.0002461390263263757
model2_quantized_4w0i_hyperparameter_search,042,173,8057,0.9032862186431885,96,28,32,16,0.1,0.0030932505442956165
model2_quantized_4w0i_hyperparameter_search,043,261,14313,0.9002711176872253,192,12,32,24,0.0,0.0013407608528649103
model2_quantized_4w0i_hyperparameter_search,044,261,14313,0.8699252605438232,192,4,32,32,0.1,0.00012673108836085793
model2_quantized_4w0i_hyperparameter_search,045,181,9417,0.8926815986633301,128,4,32,16,0.25,0.003373201432675782
model2_quantized_4w0i_hyperparameter_search,046,221,11865,0.8954921960830688,160,12,32,16,0.0,0.0005794258624245173
