Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.593667507171631,0.2763433312341857,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
3.093301296234131,0.169116820327655,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
3.141505002975464,0.24424493360499397,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
4.047102928161621,0.36098702507805874,55712,bwn,0.008831652612267316,1,3,1,1,2,1,5,,,,8,8,2,2,True,1,1,1,1,False
4.922028064727783,0.5232417062907334,64608,ban,0.043366825611017845,,,,,0,1,3,,,,,,5,2,True,,,,,False
2.8292713165283203,0.12868294843966244,82696,bwn,0.006268602470625495,2,,1,,1,2,7,7,,,4,,10,5,True,2,,1,,True
3.0283517837524414,0.14642045762823652,82696,bwn,0.006268602470625495,2,,1,,1,2,7,7,,,4,,10,5,True,2,,1,,True
3.0771124362945557,0.14377806229213122,64852,bwn,0.056243348361623036,4,,1,,1,3,6,4,4,,5,,11,4,True,1,,1,,False
3.07419490814209,0.10361466691016433,64852,bwn,0.056243348361623036,4,,1,,1,3,6,4,4,,5,,11,4,True,1,,1,,False
3.144632577896118,0.18896152831719976,64852,bwn,0.056243348361623036,4,,1,,1,3,6,4,4,,5,,11,4,True,1,,1,,False
3.3403689861297607,0.072198893320688,52072,ban,0.003946087354924743,2,,4,,1,1,2,,,,7,,26,24,True,2,,2,,True
3.378633499145508,0.07665704564504447,52072,ban,0.003946087354924743,2,,4,,1,1,2,,,,7,,26,24,True,2,,2,,True
3.3664021492004395,0.09817606062441,52664,bwn,0.018107627737715737,2,,4,,1,4,7,4,3,1,2,,29,24,False,1,,1,,True
3.469683885574341,0.11257833768621103,52664,bwn,0.018107627737715737,2,,4,,1,4,7,4,3,1,2,,29,24,False,1,,1,,True
7.196218013763428,0.38679947535615977,51486,bwn,0.10179173607701208,2,,3,,1,1,7,,,,5,,3,1,False,1,,3,,False
3.6871302127838135,0.28588599989553615,51486,bwn,0.10179173607701208,2,,3,,1,1,7,,,,5,,3,1,False,1,,3,,False
5.609843730926514,0.5261431219339285,64608,ban,0.13530958277659988,,,,,0,1,3,,,,,,8,3,False,,,,,True
3.475156307220459,0.23585294903379422,60844,bwn,0.15939106199501135,4,1,1,2,2,3,7,5,5,,7,8,30,3,True,2,1,1,2,False
3.421184778213501,0.17339716227307067,60844,bwn,0.15939106199501135,4,1,1,2,2,3,7,5,5,,7,8,30,3,True,2,1,1,2,False
19.517051696777344,0.6215008299357361,53120,bnn,0.16338080036661484,,,,,0,3,7,7,5,,,,31,24,True,,,,,False
3.1698172092437744,0.07163380407800417,52288,bwn,0.11416383539126918,1,4,2,3,2,1,8,,,,8,4,22,7,False,1,2,1,2,False
3.2156264781951904,0.08149865754898954,52288,bwn,0.11416383539126918,1,4,2,3,2,1,8,,,,8,4,22,7,False,1,2,1,2,False
7.909700393676758,0.6060426375756182,50176,bnn,0.12863992316641937,,,,,0,2,7,7,,,,,19,13,True,,,,,True
34.05205154418945,0.6272010849341525,50176,bnn,0.12863992316641937,,,,,0,2,7,7,,,,,19,13,True,,,,,True
3.5529274940490723,0.1669192272678005,50176,bwn,0.341887629976369,,,,,0,2,7,7,,,,,19,1,True,,,,,False
3.568652868270874,0.21994305543769324,50176,bwn,0.341887629976369,,,,,0,2,7,7,,,,,19,1,True,,,,,False

Signal Type: H to Long Lived AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.785651922225952,0.33778073707154405,84489,bnn,0.47159349216248936,3,,1,,1,1,7,,,,3,,4,3,True,1,,1,,False
11.742887496948242,0.08141843936895853,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
9.419795989990234,0.04285268950875582,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
20.514188766479492,0.09692151746552972,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
13.439013481140137,0.09012152084362685,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
8.437363624572754,0.0,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
3.144010066986084,0.1366068364777555,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.2124834060668945,0.16923007538482907,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.5037035942077637,0.1622916588776774,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4056644439697266,0.15151356061963206,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4630112648010254,0.15935582500212844,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.431422233581543,0.1549310651713604,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4557666778564453,0.1561665363748378,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.3989124298095703,0.14266903726377173,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
4.237061500549316,0.3332385037878043,67584,bwn,0.05310255824005461,,,,,0,1,8,,,,,,1,1,True,,,,,False
6.610587120056152,0.3287966080602652,51004,ban,0.04757417816143067,4,,3,,1,3,3,1,1,,3,,29,4,True,3,,1,,True
4.120628833770752,0.2671669683408562,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.9078805446624756,0.19527226151255656,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
4.187667369842529,0.29124044213064154,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.9278008937835693,0.22081818873724793,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
