Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.6313705444335938,0.34171147611724156,87872,0.05220717686504256,2,4,1,2,2,2,4,2,,,5,5,6,5,12,6,8,5,4,3,13,6,True,1,4,1,1,True
4.9560675621032715,0.4183314772810894,50369,0.09156001043777601,4,1,1,1,2,2,3,2,,,3,3,29,12,,,3,2,31,21,16,1,True,2,1,1,1,False
9.028983116149902,0.47441163962931654,50448,0.45771117898113306,,,,,0,1,2,,,,,,23,7,,,23,15,,,27,6,False,,,,,
3.4642343521118164,0.26808906031324287,61104,0.013814480942360208,2,4,4,2,2,1,5,,,,8,5,9,8,1,1,29,7,29,2,16,5,True,1,3,3,2,True
4.961523056030273,0.4862296764964816,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
5.848556995391846,0.5897370199649979,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
5.519507884979248,0.5375572412018965,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
5.358096122741699,0.527323520693799,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
6.342814922332764,0.668412355325838,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
5.68103551864624,0.5483539288488652,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
6.292458534240723,0.6223096654950356,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
5.504724025726318,0.5373082711667075,56256,0.04866209146806777,,,,,0,2,3,3,,,,,3,3,,,1,1,,,26,13,True,,,,,
3.8924155235290527,0.3805124191290032,71192,0.14853878965389078,4,2,1,1,2,1,4,,,,5,1,18,5,4,2,21,18,16,6,28,1,True,2,1,1,1,True
3.9725120067596436,0.3995113058831485,71192,0.14853878965389078,4,2,1,1,2,1,4,,,,5,1,18,5,4,2,21,18,16,6,28,1,True,2,1,1,1,True
4.015007972717285,0.4234818254919091,71192,0.14853878965389078,4,2,1,1,2,1,4,,,,5,1,18,5,4,2,21,18,16,6,28,1,True,2,1,1,1,True
3.999645233154297,0.4069403784373318,71192,0.14853878965389078,4,2,1,1,2,1,4,,,,5,1,18,5,4,2,21,18,16,6,28,1,True,2,1,1,1,True
3.952951192855835,0.38809390608953154,71192,0.14853878965389078,4,2,1,1,2,1,4,,,,5,1,18,5,4,2,21,18,16,6,28,1,True,2,1,1,1,True
19.590269088745117,0.5261785798947785,51008,0.20406681737542742,,,,,0,3,2,2,2,,,,18,16,,,21,18,,,28,10,True,,,,,
5.490877151489258,0.4590051604043627,52752,0.25971188901696673,4,,4,,1,1,4,,,,3,,15,2,22,2,28,5,17,4,5,2,False,3,,2,,True
6.733323097229004,0.4708478208652429,52512,0.3303841483274013,,,,,0,1,3,,,,,,29,12,,,11,6,,,15,6,True,,,,,
6.603419780731201,0.46067048809121636,52512,0.3303841483274013,,,,,0,1,3,,,,,,29,12,,,11,6,,,15,6,True,,,,,
6.685125827789307,0.4681418606986578,52512,0.3303841483274013,,,,,0,1,3,,,,,,29,12,,,11,6,,,15,6,True,,,,,
6.891368389129639,0.4723125223705775,52512,0.3303841483274013,,,,,0,1,3,,,,,,29,12,,,11,6,,,15,6,True,,,,,
6.660676956176758,0.46176943054630926,52512,0.3303841483274013,,,,,0,1,3,,,,,,29,12,,,11,6,,,15,6,True,,,,,
5.259068965911865,0.5743076063801184,80832,0.16258580269031747,,,,,0,1,4,,,,,,16,1,,,5,1,,,15,2,True,,,,,
22.241592407226562,0.6085837690478263,50196,0.35300595162479026,4,3,2,2,2,4,2,2,1,1,7,8,14,3,4,2,17,15,3,1,30,22,False,2,3,1,1,True
3.7486209869384766,0.26270730662787817,56068,0.045808385434942256,1,1,2,4,2,1,2,,,,5,5,14,10,29,15,8,6,9,7,20,10,True,1,1,1,2,True
3.731106996536255,0.2240767276082805,60712,0.16111457060164103,1,3,4,4,2,1,4,,,,4,1,11,8,17,6,4,1,5,2,22,16,True,1,1,1,1,True
13.681528091430664,0.6818525128733532,62544,0.39802648194899265,,,,,0,1,2,,,,,,18,3,,,31,12,,,31,3,False,,,,,

Signal Type: SUEP AUC (0.3-3 kHz)
