Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
4.610776424407959,0.29466751113722445,60448,0.03522106767749955,4,,1,,1,2,3,2,,,3,,4,4,1,1,10,1,3,2,13,2,True,2,,1,,True
6.164080619812012,0.5219828568893206,54480,0.1644614894865417,,,,,0,1,2,,,,,,23,3,,,28,20,,,26,18,False,,,,,
6.8870038986206055,0.48565090733019517,53712,0.019830282109757458,,,,,0,3,3,2,2,,,,7,3,,,12,12,,,14,1,True,,,,,
3.8523759841918945,0.2530484445594648,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
6.020172595977783,0.27063832896903894,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
3.696948766708374,0.15398053220272034,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
15.526651382446289,0.0,50002,0.15094715330751496,1,3,2,2,2,4,1,1,1,1,5,4,29,21,,,17,11,13,9,15,15,True,1,1,1,1,False
16.702964782714844,0.025153772350794183,50002,0.15094715330751496,1,3,2,2,2,4,1,1,1,1,5,4,29,21,,,17,11,13,9,15,15,True,1,1,1,1,False
7.6293864250183105,0.5764814954274102,57792,0.4982528918300209,4,,2,,1,1,4,,,,3,,6,4,,,15,14,24,8,7,1,False,2,,2,,False
4.871287822723389,0.2936560396376014,52512,0.017357146706418802,,,,,0,1,3,,,,,,7,4,,,7,6,,,19,3,True,,,,,
4.445003032684326,0.26879866930952473,69192,0.01944116147878383,,,,,0,3,3,3,1,,,,14,9,,,12,7,,,21,7,False,,,,,
12.460312843322754,0.6043632377217282,64704,0.20690037539607298,,,,,0,1,4,,,,,,31,9,,,2,2,,,14,8,False,,,,,
15.249128341674805,0.6046781227197096,64704,0.20690037539607298,,,,,0,1,4,,,,,,31,9,,,2,2,,,14,8,False,,,,,

Signal Type: VBHF to 2C AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
27.431772232055664,0.7807395735115518,64704,0.0,,,,,0,1,4,,,,,,10,6,,,8,3,,,8,1,False,,,,,
3.72735333442688,0.5343056104196521,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.810089111328125,0.5942755349412028,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.764493227005005,0.5390484451188743,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
