Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
4.946931838989258,0.5546092470429985,50448,ban,0.2664624336698025,2,1,4,4,2,4,11,3,2,1,4,7,10,3,False,1,1,2,4,False
6.164080619812012,0.6131172711385178,54480,ban,0.27832728181822514,4,,1,,1,1,2,,,,5,,24,6,False,3,,1,,True
5.742300033569336,0.6070486794211283,53712,ban,0.4805604134817131,,,,,0,1,11,,,,,,4,4,False,,,,,True
6.8870038986206055,0.6250978332700644,53712,ban,0.4805604134817131,,,,,0,1,11,,,,,,4,4,False,,,,,True
3.8523759841918945,0.5006402246687968,50052,ban,0.176794602376241,,,,,0,4,4,1,1,1,,,29,5,True,,,,,True
6.020172595977783,0.5228631796566793,50052,ban,0.176794602376241,,,,,0,4,4,1,1,1,,,29,5,True,,,,,True
3.696948766708374,0.4306429588316467,50052,ban,0.176794602376241,,,,,0,4,4,1,1,1,,,29,5,True,,,,,True
7.16425895690918,0.5615593472665907,52960,ban,0.21812224735529623,1,,4,,1,3,10,3,3,,4,,31,8,True,1,,2,,True
15.526651382446289,0.0544555706628411,50002,bnn,0.0642677107673732,,,,,0,3,9,4,3,,,,30,12,False,,,,,True
16.702964782714844,0.15041505681450756,50002,bnn,0.0642677107673732,,,,,0,3,9,4,3,,,,30,12,False,,,,,True
7.6293864250183105,0.7051433368049738,57792,bwn,0.46025728271624294,1,,3,,1,3,4,3,3,,6,,2,1,True,1,,3,,True
7.262689113616943,0.4357078613881198,50046,bwn,0.061865213876797887,2,1,3,1,2,2,2,2,,,1,7,16,10,False,2,1,1,1,False
7.480235576629639,0.45755636135218875,50046,bwn,0.061865213876797887,2,1,3,1,2,2,2,2,,,1,7,16,10,False,2,1,1,1,False
10.704504013061523,0.5222453323605103,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
10.610220909118652,0.4427236687850343,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
8.143044471740723,0.35009832807739155,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
9.27763843536377,0.39174443685969085,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
8.453524589538574,0.3856339397151393,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
9.933199882507324,0.39442254719530856,50004,bwn,0.1359924141841829,,,,,0,2,4,3,,,,,28,13,True,,,,,True
6.301808834075928,0.7233247907383497,75208,bwn,0.375864629480908,1,,3,,1,2,8,5,,,2,,6,4,False,1,,3,,True
6.342814922332764,0.668412355325838,56256,ban,0.4536450345456008,1,4,1,3,2,2,3,3,,,5,6,13,4,True,1,2,1,1,True
6.292458534240723,0.6223096654950356,56256,ban,0.4536450345456008,1,4,1,3,2,2,3,3,,,5,6,13,4,True,1,2,1,1,True

Signal Type: SUEP AUC (0.3-3 kHz)
