evalFolderName,test_loss,test_accuracy,roc_auc,fpr,tpr,thresholds,bkg_rej_at_95pct,fpr_at_95pct,bkg_rej_at_98pct,fpr_at_98pct,bkg_rej_at_99pct,fpr_at_99pct,numBackPixesPostFilter,numBackPixesTotal,numBackPixesRejRatio
b0.8198mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483342619652743,deld,deld,deld,0.8690546379190969,0.13094536208090318,0.8465536477183053,0.15344635228169473,0.8197864794506879,0.180213520549312,193323.0,2000084.0,0.09665744006633759
b0.8281mdl_ial_051,0.26217910647392273,0.918602466583252,0.9520147470303766,deld,deld,deld,0.8825999800448084,0.11740001995519153,0.8567580070205992,0.1432419929794008,0.8280830015026864,0.1719169984973136,219510.0,2000084.0,0.10975039005279541
b0.8281mdl_ial_051,0.26217910647392273,0.918602466583252,0.9520147470303766,deld,deld,deld,0.8825999800448084,0.11740001995519153,0.8567580070205992,0.1432419929794008,0.8280830015026864,0.1719169984973136,179109.0,2000084.0,0.08955074101686478
b0.8281mdl_ial_051,0.26217910647392273,0.918602466583252,0.9520147470303766,deld,deld,deld,0.8825999800448084,0.11740001995519153,0.8567580070205992,0.1432419929794008,0.8280830015026864,0.1719169984973136,143553.0,2000084.0,0.0717734843492508
b0.8461mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563345365466742,deld,deld,deld,0.8890702997209297,0.11092970027907033,0.8684559821733622,0.13154401782663777,0.8460910500966012,0.15390894990339873,135636.0,2000084.0,0.0678151547908783
b0.8461mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563345365466742,deld,deld,deld,0.8890702997209297,0.11092970027907033,0.8684559821733622,0.13154401782663777,0.8460910500966012,0.15390894990339873,192185.0,2000084.0,0.0960884615778923
b0.8461mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563345365466742,deld,deld,deld,0.8890702997209297,0.11092970027907033,0.8684559821733622,0.13154401782663777,0.8460910500966012,0.15390894990339873,162335.0,2000084.0,0.08116409182548523
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.971225250748732,deld,deld,deld,0.9183046553043015,0.08169534469569845,0.8946819414587245,0.1053180585412755,0.8707205940600047,0.12927940593999535,95191.0,2000084.0,0.04759350046515465
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.971225250748732,deld,deld,deld,0.9183046553043015,0.08169534469569845,0.8946819414587245,0.1053180585412755,0.8707205940600047,0.12927940593999535,126154.0,2000084.0,0.06307435035705566
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.971225250748732,deld,deld,deld,0.9183046553043015,0.08169534469569845,0.8946819414587245,0.1053180585412755,0.8707205940600047,0.12927940593999535,163617.0,2000084.0,0.08180506527423859
b0.8929mdl_ial_063,0.1662711501121521,0.945770263671875,0.9764015364376287,deld,deld,deld,0.9314690346827276,0.06853096531727243,0.911613619115864,0.08838638088413593,0.8928648096244494,0.10713519037555065,130099.0,2000084.0,0.0650467649102211
b0.8929mdl_ial_063,0.1662711501121521,0.945770263671875,0.9764015364376287,deld,deld,deld,0.9314690346827276,0.06853096531727243,0.911613619115864,0.08838638088413593,0.8928648096244494,0.10713519037555065,77800.0,2000084.0,0.038898367434740067
b0.8929mdl_ial_063,0.1662711501121521,0.945770263671875,0.9764015364376287,deld,deld,deld,0.9314690346827276,0.06853096531727243,0.911613619115864,0.08838638088413593,0.8928648096244494,0.10713519037555065,103369.0,2000084.0,0.051682330667972565
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782765350112878,deld,deld,deld,0.9382326352039814,0.06176736479601864,0.9211739699644133,0.07882603003558676,0.9047986188588654,0.0952013811411346,68028.0,2000084.0,0.034012570977211
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782765350112878,deld,deld,deld,0.9382326352039814,0.06176736479601864,0.9211739699644133,0.07882603003558676,0.9047986188588654,0.0952013811411346,112196.0,2000084.0,0.05609564483165741
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782765350112878,deld,deld,deld,0.9382326352039814,0.06176736479601864,0.9211739699644133,0.07882603003558676,0.9047986188588654,0.0952013811411346,88704.0,2000084.0,0.04435013607144356
b0.9152mdl_ial_110,0.14544455707073212,0.9545807838439941,0.9815186694103367,deld,deld,deld,0.9447664486713169,0.05523355132868317,0.9290199884501771,0.07098001154982297,0.9151692714238634,0.08483072857613662,59712.0,2000084.0,0.029854746535420418
