cota cotb p flp ylocal zglobal pt t hit_pdg
3.73653 -2.63417 0.00048 1 -4.40000 61.65000 0.00029 0.52902 -13
-3.81453 0.07561 0.00032 1 -4.75000 59.25000 0.00008 0.54329 -13
0.43289 0.37816 0.00014 1 -5.72500 58.75000 0.00013 0.55215 -13
-0.05020 0.47297 0.00021 1 -5.95000 -62.75000 0.00021 0.25708 13
-0.34823 0.18687 0.00061 1 -0.80000 -58.90000 0.00057 0.25962 -13
0.29183 -0.40503 0.00054 1 -1.85000 -59.37500 0.00053 0.26728 -13
-2.01302 0.30240 0.00042 1 -1.77500 -59.47500 0.00020 0.26812 -13
0.80627 -0.34489 0.00021 1 -2.35000 -60.42500 0.00016 0.27630 -13
2.65132 0.35418 0.00015 1 -4.22500 -16.17500 0.00006 1.07248 -13
-1.82188 0.71900 0.00030 1 3.70000 -34.87500 0.00017 0.50926 13
2.72348 2.95716 0.00022 1 3.70000 -34.95000 0.00017 0.51001 13
-0.33584 3.33032 0.00021 1 -3.80000 37.32500 0.00021 0.25749 13
0.23192 -1.04091 0.00016 1 -4.22500 38.27500 0.00015 0.27542 13
-3.23360 1.30760 0.00043 1 -4.05000 3.30000 0.00020 0.30149 13
0.03971 -0.44568 0.00016 1 -6.00000 1.62500 0.00016 0.32370 13
-4.19912 -0.94856 0.00026 1 -0.57500 -63.80000 0.00008 0.70432 -13
8.43695 -6.21167 0.00022 1 0.27500 -37.85000 0.00013 0.38838 13
0.34434 0.16985 0.00009 1 -0.07500 -45.05000 0.00009 0.49327 13
0.60669 -1.12632 0.00072 1 3.47500 39.07500 0.00067 0.27461 13
-4.70120 -8.62655 0.00031 1 1.80000 51.42500 0.00027 0.36945 13
-0.71790 -0.85322 0.00028 1 1.32500 52.50000 0.00024 0.37806 13
-1.50641 1.30234 0.00008 1 1.40000 -61.62500 0.00006 0.27815 13
0.15967 0.16341 0.00008 1 -5.32500 -22.45000 0.00008 0.37381 -13
0.01261 0.66864 0.00012 1 -8.02500 7.10000 0.00012 0.27211 -13
0.25237 0.09971 0.00038 1 -1.35000 -9.22500 0.00037 0.56303 -13
-0.13245 -0.45487 0.00033 1 -1.82500 -7.95000 0.00033 0.57349 -13
