trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,model_family,bit_width,luts_plus_ff
040,1565,0.9502642536598572,0.8329012732016895,0.8679057026495052,0.838039432667858,0.7974155003461924,,,,,46445,46445,53200,87.0,50881,50881,106400,47.0,76,76,280,27.0,2,2,220,0.0,75,79,18,18,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_040,Model 2.5,4,97326
025,819,0.9429903824376754,0.827904614184513,0.861888910053486,0.8350582479946544,0.7858747479145313,,,,,35387,35387,53200,66.0,34886,34886,106400,32.0,40,40,280,14.0,1,1,220,0.0,69,73,16,16,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_025,Model 2.5,4,70273
053,363,0.9311999462268196,0.8263940666563867,0.8517782796810798,0.8285214110134516,0.8062562548943131,,,,,25763,25763,53200,48.0,25022,25022,106400,23.0,20,20,280,7.0,1,1,220,0.0,77,81,20,20,104.6682,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_053,Model 2.5,4,50785
115,1567,0.939093443276074,0.8240995219824576,0.8643893560217815,0.8288781856497984,0.7872292821271025,,,,,47529,47529,53200,89.0,50095,50095,106400,47.0,92,92,280,32.0,1,1,220,0.0,80,84,20,20,98.0488,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_115,Model 2.5,4,97624
087,725,0.9370807240850132,0.820738886318902,0.8543331488989874,0.8257609428525644,0.7863645571610414,,,,,33567,33567,53200,63.0,33986,33986,106400,31.0,40,40,280,14.0,1,1,220,0.0,73,77,16,16,99.691,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_087,Model 2.5,4,67553
145,511,0.9369252867802924,0.8146625304996961,0.8524585703012326,0.8209928614837592,0.7736083521547071,,,,,29764,29764,53200,55.0,28713,28713,106400,26.0,20,20,280,7.0,1,1,220,0.0,83,87,20,20,98.0488,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_145,Model 2.5,4,58477
130,391,0.9327860652828948,0.8069196138368089,0.8484856730795396,0.8089864879165268,0.7789025249364306,,,,,27114,27114,53200,50.0,26589,26589,106400,24.0,20,20,280,7.0,1,1,220,0.0,71,75,16,16,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_130,Model 2.5,4,53703
099,10703,0.9721636600488694,0.8967769342174088,0.9220840476384844,0.8999791377543154,0.8729156651276981,,,,,148131,148131,53200,278.0,182565,182565,106400,171.0,1332,1332,280,475.0,641,641,220,291.0,101,105,23,23,98.0488,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_099,Model 2.5,6,330696
070,13321,0.9715875898441269,0.8951799141926764,0.9201610928188522,0.8978324429084994,0.8734054743742082,,,,,396971,396971,53200,746.0,421684,421684,106400,396.0,3738,3738,280,1335.0,601,601,220,273.0,73,77,15,15,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_070,Model 2.5,6,818655
056,10363,0.9707667739663268,0.8947266894639613,0.9194626611154952,0.898056182934683,0.8707054764906679,,,,,508302,508302,53200,955.0,544741,544741,106400,511.0,4988,4988,280,1781.0,641,641,220,291.0,72,76,20,20,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_056,Model 2.5,6,1053043
101,6721,0.9688021647287084,0.8910915187412506,0.9178783398490056,0.8952896677460611,0.8630045866705367,,,,,123758,123758,53200,232.0,149940,149940,106400,140.0,714,714,280,255.0,481,481,220,218.0,79,83,16,16,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_101,Model 2.5,6,273698
017,6865,0.969746819786608,0.8881318010165054,0.914519215942384,0.8909599958880211,0.8650394115032609,,,,,113656,113656,53200,213.0,129025,129025,106400,121.0,584,584,280,208.0,361,361,220,164.0,92,96,20,20,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_017,Model 2.5,6,242681
085,5951,0.966791578363626,0.8809560955551322,0.9106279535951092,0.8843143124075938,0.8543664075515283,,,,,274295,274295,53200,515.0,295140,295140,106400,277.0,1724,1724,280,615.0,401,401,220,182.0,70,74,16,16,122.1449,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_085,Model 2.5,6,569435
079,4189,0.9640633752097136,0.8807054462555292,0.9078886500312934,0.884123831033951,0.8551494976431709,,,,,85443,85443,53200,160.0,95450,95450,106400,89.0,270,270,280,96.0,242,242,220,110.0,78,82,18,18,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_079,Model 2.5,6,180893
065,2265,0.9657654787967384,0.8806882122264854,0.9070118310097628,0.8835947161071654,0.8573536392524664,,,,,61939,61939,53200,116.0,68677,68677,106400,64.0,120,120,280,42.0,162,162,220,73.0,78,82,20,20,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_065,Model 2.5,6,130616
075,5517,0.9650315453667307,0.8767927169597962,0.9052460989112326,0.8800390637991661,0.8512038120462839,,,,,92029,92029,53200,172.0,113041,113041,106400,106.0,536,536,280,191.0,441,441,220,200.0,77,81,23,23,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_075,Model 2.5,6,205070
051,1897,0.963977510271728,0.8759775776211597,0.9050798056485286,0.8791108450418907,0.8504600276349168,,,,,50655,50655,53200,95.0,60183,60183,106400,56.0,112,112,280,40.0,201,201,220,91.0,79,83,16,16,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_051,Model 2.5,6,110838
129,4009,0.9657763587515164,0.8755406798673282,0.9020925739475903,0.878624059309248,0.8514729047804778,,,,,77511,77511,53200,145.0,94059,94059,106400,88.0,365,365,280,130.0,321,321,220,145.0,91,95,20,20,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_129,Model 2.5,6,171570
006,1589,0.9588879881345044,0.8711859128441892,0.8929464444988677,0.8735385089843715,0.8520715605262124,,,,,48148,48148,53200,90.0,55447,55447,106400,52.0,96,96,280,34.0,162,162,220,73.0,70,74,16,16,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_006,Model 2.5,6,103595
148,1829,0.9606073682344984,0.8686398118164969,0.8960213581019589,0.8713555319721473,0.8454440181289892,,,,,48024,48024,53200,90.0,54913,54913,106400,51.0,96,96,280,34.0,161,161,220,73.0,75,79,18,18,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_148,Model 2.5,6,102937
126,1753,0.9631866572215456,0.8680970910773083,0.8953319969402039,0.8709957338219332,0.844334388539673,,,,,46834,46834,53200,88.0,52980,52980,106400,49.0,92,92,280,32.0,161,161,220,73.0,80,84,20,20,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_126,Model 2.5,6,99814
022,841,0.9542404453626534,0.8646121889938048,0.888934241596899,0.8671921533768114,0.8434212873517344,,,,,35726,35726,53200,67.0,37805,37805,106400,35.0,48,48,280,17.0,81,81,220,36.0,74,78,16,16,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_022,Model 2.5,6,73531
040,1565,0.9612181575275702,0.8628313393259377,0.891709827327123,0.865293386668118,0.8397749296277147,,,,,46447,46447,53200,87.0,51205,51205,106400,48.0,76,76,280,27.0,122,122,220,55.0,75,79,18,18,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_040,Model 2.5,6,97652
093,1251,0.9596571241631168,0.8620279916913839,0.8905185628633886,0.8653266453206587,0.8362374184029195,,,,,40385,40385,53200,75.0,44947,44947,106400,42.0,72,72,280,25.0,121,121,220,55.0,67,71,13,13,122.1449,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_093,Model 2.5,6,85332
