model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model1,model1_8w10i,hp5q_trial_001,205.0,0.9393380025374588,0.8116985798555365,6946,5546,12492,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_001.h5
model1,model1_8w10i,hp4q_trial_008,163.0,0.9452931797976464,0.809494438246241,5660,4581,10241,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_008.h5
model1,model1_8w10i,hp3q_trial_000,235.0,0.945084641891792,0.7935605201653257,7447,4971,12418,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_000.h5
model1,model1_8w10i,hp3q_trial_006,155.0,0.9449033654783686,0.7964479759086415,5647,4035,9682,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_006.h5
model1,model1_8w10i,hp3q_trial_001,121.0,0.9418471349615152,0.7960277074810804,4326,3610,7936,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_001.h5
model1,model1_8w10i,hp2q_trial_009,199.0,0.944832579646286,0.7957495442052844,5440,3975,9415,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_009.h5
model1,model1_8w10i,hp5q_trial_000,151.0,0.9367825873353348,0.7926443954635198,6073,4933,11006,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_000.h5
model1,model1_8w10i,hp4q_trial_005,121.0,0.933534925656272,0.7699347828058813,4878,4102,8980,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_005.h5
model1,model1_8w10i,hp3q_trial_004,91.0,0.9343880440263256,0.7755554950852782,3879,3267,7146,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_004.h5
model1,model1_8w10i,hp3q_trial_002,65.0,0.924199130350122,0.7006600330772417,3119,2783,5902,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_002.h5
model1,model1_8w10i,hp2q_trial_005,99.0,0.9050811717472034,0.7024106476064352,3734,2883,6617,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_005.h5
model1,model1_8w10i,hp2q_trial_006,79.0,0.9044368431625038,0.704530130827445,3091,2643,5734,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_006.h5
model1,model1_8w10i,hp4q_trial_000,55.0,0.9047597470040728,0.6933310354627942,3369,2792,6161,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_000.h5
model1,model1_8w10i,hp5q_trial_006,67.0,0.8578372973937148,0.6748452716778386,3869,3305,7174,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_006.h5
model1,model1_8w10i,hp2q_trial_004,61.0,0.8907346645635281,0.6870753852712546,2708,2440,5148,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_004.h5
model1,model1_8w10i,hp2q_trial_002,45.0,0.8617684506870918,0.5791177991237857,2335,2112,4447,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_002.h5
model1,model1_8w10i,hp3q_trial_009,43.0,0.8587095367983674,0.5491064004765058,2683,2270,4953,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_009.h5
model1,model1_8w10i,hp3q_trial_005,25.0,0.82340753744996,0.5565563386456471,1941,1814,3755,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_005.h5
model1,model1_8w10i,hp5q_trial_007,37.0,0.812378659139346,0.5379738224169366,2754,2573,5327,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_007.h5
model1,model1_8w10i,hp2q_trial_008,19.0,0.8116697974599648,0.5298526641692443,1416,1430,2846,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_008.h5
model1,model1_8w10i,hp2q_trial_007,31.0,0.8368847299720428,0.4159931789527152,2041,1758,3799,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_007.h5
model1,model1_10w12i,hp4q_trial_008,463.0,0.9476124579048766,0.8211017079829837,12268,9109,21377,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp4q_model_trial_008.h5
model1,model1_10w12i,hp5q_trial_002,415.0,0.948365706080752,0.8205695695423307,13100,9264,22364,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp5q_model_trial_002.h5
model1,model1_10w12i,hp5q_trial_007,595.0,0.9488002316394346,0.8200858073235553,15561,11379,26940,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp5q_model_trial_007.h5
model1,model1_10w12i,hp4q_trial_000,391.0,0.9475972966750856,0.8204365349321675,9673,8458,18131,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp4q_model_trial_000.h5
model1,model1_10w12i,hp5q_trial_004,501.0,0.947492458952414,0.8191031653166677,11976,10463,22439,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp5q_model_trial_004.h5
model1,model1_10w12i,hp5q_trial_000,337.0,0.9470224804011428,0.8206118987364736,9664,8841,18505,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp5q_model_trial_000.h5
model1,model1_10w12i,hp4q_trial_005,325.0,0.9470105130167542,0.8184107806410454,10490,7493,17983,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp4q_model_trial_005.h5
model1,model1_10w12i,hp5q_trial_006,267.0,0.9476773113910494,0.8160040636026378,10144,7634,17778,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp5q_model_trial_006.h5
