model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model1,model1_10w12i,hp3q_trial_004,65.0,0.9182796353638978,0.7119377398024436,3215,2939,6154,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp3q_model_trial_004.h5
model1,model1_10w12i,hp2q_trial_006,79.0,0.9055471145449536,0.7115930592215661,3138,2808,5946,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp2q_model_trial_006.h5
model1,model1_8w10i,hp2q_trial_006,79.0,0.9044368431625038,0.704530130827445,3091,2643,5734,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_006.h5
model1,model1_10w12i,hp2q_trial_004,61.0,0.8907899117945108,0.6890164811740909,2751,2523,5274,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp2q_model_trial_004.h5
model1,model1_8w10i,hp2q_trial_004,61.0,0.8907346645635281,0.6870753852712546,2708,2440,5148,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_004.h5
model1,model1_6w8i,hp2q_trial_004,61.0,0.8822279981596747,0.6729616225384818,2711,2348,5059,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_004.h5
model1,model1_10w12i,hp4q_trial_001,31.0,0.8332578157126982,0.6168482286744008,2313,2230,4543,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp4q_model_trial_001.h5
model1,model1_8w10i,hp2q_trial_002,45.0,0.8617684506870918,0.5791177991237857,2335,2112,4447,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_002.h5
model1,model1_8w10i,hp3q_trial_005,25.0,0.82340753744996,0.5565563386456471,1941,1814,3755,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp3q_model_trial_005.h5
model1,model1_8w10i,hp2q_trial_008,19.0,0.8116697974599648,0.5298526641692443,1416,1430,2846,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp2q_model_trial_008.h5
model1,model1_6w8i,hp2q_trial_008,19.0,0.7808397630276929,0.5144901902092573,1377,1340,2717,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_008.h5
model1,model1_4w6i,hp2q_trial_008,19.0,0.8235910679074565,0.3050725492152469,1346,1298,2644,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_008.h5
model1,model1_3w5i,hp2q_trial_008,19.0,0.8311355457461963,0.2800136662826804,1271,1245,2516,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/3w0i_i5_sigmoid/hp2q_model_trial_008.h5
