model,trial_id,parameters,val_accuracy
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,141,765,0.7034344094019187
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,170,1689,0.7032644879225738
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,112,3965,0.7003712875029101
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,124,3301,0.7000151175693368
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,129,4049,0.6986926326037595
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,051,3917,0.6923254147505148
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,049,1829,0.6835415022631002
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,189,4521,0.673159662696793
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,104,717,0.6728500548767767
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,058,4521,0.6629262776613725
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,045,3881,0.6561484666249422
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,073,765,0.6557079406544698
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,031,3241,0.6545638430070659
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,107,1345,0.653998748265259
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,082,2601,0.6535385694546488
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,038,1973,0.6490816076627935
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,019,3941,0.6466733788674522
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,066,5501,0.6324501649326815
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,142,2401,0.6264645145294958
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,041,921,0.6058066583822386
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,044,5813,0.5971838991839536
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,121,6241,0.5715045912058075
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,180,4705,0.5693702927668478
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,113,2401,0.5535503611587315
