model,trial_id,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,129,4049,0.6986926326037595,80,10,12,4,0.25,0.00010301017394224362
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,130,5885,0.8507953353228055,144,16,4,4,0.0,0.004712335776716502
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,131,2613,0.7874527198018993,64,4,4,4,0.15000000000000002,0.0008640493682592615
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,132,6381,0.8390477745426179,128,12,12,4,0.1,0.00032747642598351744
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,133,5233,0.7933216625698053,128,14,4,4,0.15000000000000002,0.00038599229411126896
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,134,7177,0.8474836805839011,144,14,12,4,0.15000000000000002,0.004035439859879942
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,135,4569,0.7843953425792387,112,10,4,4,0.15000000000000002,0.008620552497440865
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,136,7121,0.7479399288264835,144,10,12,4,0.25,0.00010928245164324666
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,137,2685,0.7394604841855107,64,16,4,4,0.15000000000000002,0.00013521425127519483
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,139,3937,0.8000982642006886,80,2,12,4,0.15000000000000002,0.007704100384917633
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,140,4593,0.7835309199645644,112,14,4,4,0.05,0.001610075186688361
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,141,765,0.7034344094019187,16,16,4,4,0.15000000000000002,0.000318789400975165
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,142,2401,0.6264645145294958,48,2,12,4,0.0,0.00012840079280248366
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,143,5529,0.834714474467937,112,6,12,4,0.1,0.0017991073735913667
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,144,705,0.7349850789590646,16,6,4,4,0.2,0.0004027083684614831
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,146,5813,0.8227507324462343,144,4,4,4,0.05,0.001958975633214816
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,147,3365,0.8520144161141193,64,16,12,4,0.05,0.0059237449094478485
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,148,4021,0.7634432985326887,80,8,12,4,0.15000000000000002,0.00027191496988780196
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,149,6269,0.813354558400682,128,4,12,4,0.25,0.0023085942870075898
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,151,4845,0.7374788731968519,96,12,12,4,0.05,0.00013232193565809248
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,152,3253,0.7739811514145509,64,8,12,4,0.25,0.0005716024863895304
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,153,1393,0.7876631563670666,32,14,4,4,0.05,0.004160097851397763
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,155,5885,0.8457046450243544,144,16,4,4,0.05,0.008468750257862407
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,156,1801,0.8326633226603294,32,14,12,4,0.0,0.0009403614999484184
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,157,3313,0.8446687891734015,80,14,4,4,0.05,0.006446041731396966
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,158,7121,0.8496016520479771,144,10,12,4,0.15000000000000002,0.008367811950596679
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,159,4569,0.7342092453007035,112,10,4,4,0.15000000000000002,0.00017076822487633532
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,162,4845,0.8076558394635077,96,12,12,4,0.1,0.0004415565393820781
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,163,4545,0.7312035701651746,112,6,4,4,0.15000000000000002,0.00020401594688637502
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,164,5197,0.7880023946229829,128,8,4,4,0.15000000000000002,0.0012928388435949555
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,165,6325,0.8427382755691009,128,8,12,4,0.05,0.0015691926121565343
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,166,5837,0.7165171539059264,144,8,4,4,0.05,0.00023623746207603882
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,167,717,0.7496681693530587,16,8,4,4,0.1,0.004499991835674089
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,168,4557,0.8193538146162707,112,8,4,4,0.05,0.0025835316963429902
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,169,2673,0.7660072382921985,64,14,4,4,0.15000000000000002,0.0007541342746039514
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,170,1689,0.7032644879225738,32,6,12,4,0.1,0.00010775083097404743
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,173,7121,0.8345339706900565,144,10,12,4,0.0,0.0009016928015042564
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,174,4021,0.770777133769324,80,8,12,4,0.15000000000000002,0.00023387024696140994
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,177,4761,0.843459383626463,96,6,12,4,0.25,0.004809578805743078
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,178,7121,0.7709425199778679,144,10,12,4,0.05,0.00021816829689460073
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,179,3325,0.7850762379021651,80,16,4,4,0.25,0.0024561798875303597
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,180,4705,0.5693702927668478,96,2,12,4,0.2,0.00010874253629071625
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,181,5873,0.7911078457161342,144,14,4,4,0.2,0.0009640647781250717
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,183,6325,0.8469926619318439,128,8,12,4,0.15000000000000002,0.007181380567455625
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,185,1745,0.8318874890019683,32,10,12,4,0.25,0.0025693372526793524
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,186,4077,0.8212026933461529,80,12,12,4,0.2,0.0005138473190043693
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,187,2457,0.7330334007576925,48,6,12,4,0.2,0.00017216462236898544
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,188,3365,0.8520624899846102,64,16,12,4,0.0,0.00713086781830726
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,189,4521,0.673159662696793,112,2,4,4,0.2,0.0021198031560287585
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,190,1745,0.8442941758052372,32,10,12,4,0.25,0.00397837121486654
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,191,4873,0.8335232100042027,96,14,12,4,0.15000000000000002,0.0004180189848024406
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,192,3289,0.8370519530387825,80,10,4,4,0.15000000000000002,0.0028345570108783778
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,194,6241,0.7821153107718728,128,2,12,4,0.25,0.0014091897562814942
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,196,2429,0.7828518387499583,48,4,12,4,0.2,0.002613956776855358
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,197,4545,0.7824240115377289,112,6,4,4,0.05,0.0003401691826873532
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,198,5473,0.7764504551900128,112,2,12,4,0.15000000000000002,0.0007154844161693303
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,199,3253,0.7283687235631505,64,8,12,4,0.15000000000000002,0.0001938289766330366
