trial_id,parameters,auc,primary_metric,bkg_rej_@99%
005,5667,0.9552799905530543,0.8294707943677984,0.8294707943677984
103,1401,0.9553496486089156,0.8287209629286965,0.8287209629286965
067,2713,0.9555573645902679,0.8284095410003598,0.8284095410003598
084,1489,0.9553865151864075,0.8281374247522986,0.8281374247522986
045,7673,0.955424386292583,0.8273754992577274,0.8273754992577274
012,5671,0.9568924920052663,0.8273694522299926,0.8273694522299926
041,3137,0.952997971208647,0.8271850178840845,0.8271850178840845
110,2801,0.9547713947141316,0.8268645254141458,0.8268645254141458
089,2107,0.954460829110274,0.8263928572508398,0.8263928572508398
040,3555,0.9536711575571373,0.8262416815574725,0.8262416815574725
030,7581,0.9554522446195813,0.8258274601576461,0.8258274601576461
101,1853,0.9533722648947109,0.8254737090351665,0.8254737090351665
036,4053,0.9542868094052952,0.8251380989958911,0.8251380989958911
075,2271,0.9533372611266914,0.8245666548749626,0.8245666548749626
009,2771,0.957388515420615,0.8243217502517075,0.8243217502517075
049,3111,0.9542015219353208,0.8240617280591157,0.8240617280591157
078,1545,0.9543696357685679,0.8238107764081259,0.8238107764081259
062,6021,0.9570924722747252,0.8236837888256975,0.8236837888256975
100,3615,0.9562980253868526,0.823584012868075,0.823584012868075
056,1339,0.9499534846363128,0.8210049555392286,0.8210049555392286
025,1863,0.9513129447417957,0.8170683404839436,0.8170683404839436
033,489,0.9472780789651645,0.8154023843430358,0.8154023843430358
082,1897,0.9534644692419495,0.8147372112922195,0.8147372112922195
029,1281,0.9536887036706679,0.8140357560749952,0.8140357560749952
116,1523,0.9454629660795066,0.8138785333538933,0.8138785333538933
043,3975,0.9476791980510506,0.8120734955750875,0.8120734955750875
074,8191,0.956098154940439,0.8116804387723324,0.8116804387723324
061,1905,0.9496463282548039,0.8101596112970573,0.8101596112970573
111,3701,0.9510453073560703,0.8079433756322923,0.8079433756322923
054,3555,0.9518266299717923,0.8048472974321297,0.8048472974321297
094,2355,0.9512804667529826,0.8025675679761506,0.8025675679761506
097,2571,0.9393342549100246,0.8003845909639264,0.8003845909639264
060,2205,0.9458636249617187,0.796015613425611,0.796015613425611
086,7653,0.9540410690216715,0.7903102427579284,0.7903102427579284
088,533,0.9052000696764424,0.7856419373467456,0.7856419373467456
085,3171,0.9481261947851168,0.7846048720902459,0.7846048720902459
119,2975,0.943224552896965,0.7836585122497665,0.7836585122497665
002,8453,0.9475192922231849,0.782328166148134,0.782328166148134
057,711,0.9058128120297895,0.7750535917832987,0.7750535917832987
080,1251,0.944472173668687,0.7700738644437792,0.7700738644437792
037,1045,0.914315061857845,0.7699831590277588,0.7699831590277588
053,1865,0.9279766203783933,0.7626662554687806,0.7626662554687806
016,697,0.9360041893849684,0.7612089217847198,0.7612089217847198
015,405,0.9019022491336076,0.7610244874388117,0.7610244874388117
018,4187,0.9383968218543488,0.7600025397516486,0.7600025397516486
004,739,0.9234247631436601,0.7598211289196077,0.7598211289196077
066,489,0.8934136041626541,0.753755960101711,0.753755960101711
051,391,0.886439981334958,0.7480112837537529,0.7480112837537529
072,8071,0.9392968819178882,0.7280712097986037,0.7280712097986037
052,725,0.9029703431507777,0.7261512784928388,0.7261512784928388
031,377,0.8893477285119726,0.7107646164219132,0.7107646164219132
017,391,0.8677993522237405,0.6850919601742753,0.6850919601742753
115,775,0.8650856504380416,0.6516004970656798,0.6516004970656798
071,1003,0.8536035199271816,0.5755137705939088,0.5755137705939088
